text,language,label,source
"Fever for 3 days now, going to the hospital today",en,1,synthetic
"Dengue cases rising in our neighborhood, stay safe everyone",en,1,synthetic
My whole family is sick with high fever and body ache,en,1,synthetic
"Hospital ER is packed today, so many patients with flu symptoms",en,1,synthetic
Anyone else in Mirpur getting sick? Half my office is down with fever,en,1,synthetic
Confirmed dengue in our building. Platelet count dropping fast,en,1,synthetic
"Feeling terrible, 104 fever since yesterday. Visiting Apollo now",en,1,synthetic
Outbreak alert: multiple dengue cases reported in Uttara sector 7,en,1,synthetic
My son has been vomiting and has high fever for 2 days,en,1,synthetic
Cough and cold spreading fast in our school. 30 students absent today,en,1,synthetic
Doctor confirmed dengue fever. Please use mosquito repellent,en,1,synthetic
Hospitals in Dhaka overwhelmed with dengue patients this week,en,1,synthetic
"Severe headache and joint pain, classic dengue symptoms. Going to doctor",en,1,synthetic
COVID cases rising again in Gulshan. Neighbors all sick,en,1,synthetic
My daughter has 103 fever and rash. Admitted to Square Hospital,en,1,synthetic
Warning: viral fever spreading in Banani area. Take precautions,en,1,synthetic
Feeling weak and nauseous since yesterday. Possible food poisoning,en,1,synthetic
Three people in my family down with dengue simultaneously,en,1,synthetic
Clinic near my house full of patients. Long queue since morning,en,1,synthetic
Sore throat and high temperature. Tested positive for flu,en,1,synthetic
Dengue platelet count at 40k. Admitted to CMH for treatment,en,1,synthetic
Fever outbreak in our locality. Government should spray mosquitoes,en,1,synthetic
My colleague has been sick for a week. Doctor says possible typhoid,en,1,synthetic
Chikungunya spreading in old Dhaka. Many families affected,en,1,synthetic
Body ache and fever since morning. Taking paracetamol but no relief,en,1,synthetic
Health alert: cholera cases detected near Buriganga river area,en,1,synthetic
Half the kids in my daughter school absent due to illness this week,en,1,synthetic
Respiratory infection spreading fast. Many people coughing in my area,en,1,synthetic
Blood test showed dengue NS1 positive. Starting treatment immediately,en,1,synthetic
Flu season hit hard this year. Everyone around me is getting sick,en,1,synthetic
Admitted to hospital with severe dehydration and diarrhea,en,1,synthetic
Outbreak of viral fever in Rampura. At least 20 cases reported,en,1,synthetic
My platelet count dropped to 30k. Doctors are concerned,en,1,synthetic
Fever and chills since last night. Cannot go to work today,en,1,synthetic
Mass illness in garment factory in Ashulia. Workers hospitalized,en,1,synthetic
Dengue season at its worst. Please eliminate standing water near your home,en,1,synthetic
Running high fever and tested positive for COVID again,en,1,synthetic
Multiple neighbors hospitalized with unknown fever. Authorities notified,en,1,synthetic
Severe stomach pain and vomiting all night. Going to emergency now,en,1,synthetic
Typhoid fever outbreak near Jatrabari. Water source suspected,en,1,synthetic
My uncle passed away from dengue complications. Very sad situation,en,1,synthetic
Whole classroom sick this week. Teacher says viral infection going around,en,1,synthetic
"High fever for 5 days. Doctor suspects dengue, doing blood test",en,1,synthetic
Disease spreading fast in flood-affected areas of Sylhet,en,1,synthetic
Cannot breathe properly. Going to hospital for chest X-ray,en,1,synthetic
Outbreak warning from IEDCR: dengue cases up 40% this week,en,1,synthetic
Skin rash and fever. Dermatologist thinks it might be measles,en,1,synthetic
Three hospitals near me are at full capacity due to patient surge,en,1,synthetic
Diarrhea and vomiting spreading in our village. No clean water access,en,1,synthetic
"Feeling very sick. High fever, body ache, loss of appetite since Tuesday",en,1,synthetic
Beautiful sunset at Hatirjheel today. Dhaka can be lovely sometimes,en,0,synthetic
Just finished my finals exam. So relieved it is over,en,0,synthetic
Traffic jam on Mirpur road as usual. Took 2 hours to reach office,en,0,synthetic
New restaurant opened in Gulshan. The biriyani is amazing,en,0,synthetic
Bangladesh cricket team won the series. What a match last night,en,0,synthetic
Looking for a good plumber in Dhanmondi area. Any recommendations?,en,0,synthetic
Eid shopping at Bashundhara City today. Huge crowd but great deals,en,0,synthetic
"My cat had kittens last night. So adorable, anyone want one?",en,0,synthetic
Power cut for 4 hours in Uttara today. DESCO please fix this,en,0,synthetic
Just got promoted at work. Hard work finally paying off,en,0,synthetic
Studying for IELTS exam. Any tips for the writing section?,en,0,synthetic
New metro rail station opened today. Lines are incredible long though,en,0,synthetic
Cooking hilsha fish for dinner tonight. Classic Bangladeshi meal,en,0,synthetic
Wedding season is here. Three weddings to attend this weekend,en,0,synthetic
NSU campus looking beautiful with the new landscaping,en,0,synthetic
Internet speed so slow today. Grameenphone what is happening?,en,0,synthetic
Best time of year for mangoes. Market full of Langra and Fazli,en,0,synthetic
Finally finished reading Humayun Ahmed collected works. Brilliant author,en,0,synthetic
Rickshaw fare went up again in old Dhaka. Everything getting expensive,en,0,synthetic
Beautiful monsoon rain cooling down the city. Loved the weather today,en,0,synthetic
Just adopted a dog from the shelter. He is so friendly and happy,en,0,synthetic
Bangladesh vs India football match tonight. Praying for a win,en,0,synthetic
Padma bridge traffic is much better now. Great infrastructure,en,0,synthetic
Studying in library all day. Final project deadline is tomorrow,en,0,synthetic
The new Bashundhara mall extension is finally open. Impressive,en,0,synthetic
Morning walk at Ramna park with my kids. Perfect weather today,en,0,synthetic
My startup just got its first client. Dreams becoming reality,en,0,synthetic
DSE index up 2% today. Good day for investors,en,0,synthetic
Attending photography workshop this weekend. Very excited,en,0,synthetic
Gas price increase again. Monthly budget getting tighter,en,0,synthetic
University admission results out today. Congratulations to all,en,0,synthetic
Long weekend coming up. Planning trip to Cox's Bazar with family,en,0,synthetic
Local school won national science olympiad. Proud of the students,en,0,synthetic
Just finished setting up my home office. Productivity up already,en,0,synthetic
Street food in old Dhaka is unbeatable. Best bakarkhani in the city,en,0,synthetic
Temperature dropping finally. Winter is coming to Dhaka,en,0,synthetic
My brother got accepted to BUET. Family celebration tonight,en,0,synthetic
Yoga class in the morning makes such a difference to my day,en,0,synthetic
Public library in Shahbag has amazing new books collection,en,0,synthetic
Neighbor got a new car. Nice Toyota. Parking becoming a problem though,en,0,synthetic
Attended poetry recital at Bangladesh Shilpakala Academy. Beautiful event,en,0,synthetic
Grocery prices at Agora are more reasonable than Shwapno lately,en,0,synthetic
Internet shutdown during exam again. Students frustrated,en,0,synthetic
My grandmother makes the best pitha. Winter mornings at her house,en,0,synthetic
Went to see the new Bengali film. Acting was excellent,en,0,synthetic
Learning guitar during holidays. Progress is slow but fun,en,0,synthetic
Amazing fireworks display at the river last night,en,0,synthetic
Office iftar party tonight. Everyone excited during Ramadan,en,0,synthetic
Just finished my morning run. Feeling energetic today,en,0,synthetic
Book fair at Bangla Academy was packed. Bought 10 new books,en,0,synthetic
জ্বর তিনদিন ধরে কমছে না। হাসপাতালে যেতে হবে আজকেই,bn,1,synthetic
আমাদের এলাকায় ডেঙ্গু ছড়িয়ে পড়েছে। সাবধান থাকুন সবাই,bn,1,synthetic
পুরো পরিবার অসুস্থ। জ্বর এবং শরীর ব্যথা সবার,bn,1,synthetic
হাসপাতালের জরুরি বিভাগ রোগীতে ভর্তি। ফ্লু রোগী বেশি,bn,1,synthetic
মিরপুরে কি কেউ অসুস্থ হচ্ছেন? অফিসের অর্ধেক মানুষ জ্বরে পড়েছে,bn,1,synthetic
আমাদের বিল্ডিংয়ে ডেঙ্গু নিশ্চিত হয়েছে। প্লেটলেট দ্রুত কমছে,bn,1,synthetic
১০৪ ডিগ্রি জ্বর গতকাল থেকে। এখন অ্যাপোলোতে যাচ্ছি,bn,1,synthetic
উত্তরা সেক্টর ৭-এ একাধিক ডেঙ্গু রোগী শনাক্ত হয়েছে,bn,1,synthetic
ছেলের দুইদিন ধরে বমি এবং তীব্র জ্বর হচ্ছে,bn,1,synthetic
স্কুলে কাশি-সর্দি দ্রুত ছড়াচ্ছে। আজ ৩০ ছাত্র অনুপস্থিত,bn,1,synthetic
ডাক্তার ডেঙ্গু জ্বর নিশ্চিত করেছেন। মশা থেকে সতর্ক থাকুন,bn,1,synthetic
ঢাকার হাসপাতালগুলো এই সপ্তাহে ডেঙ্গু রোগীতে পরিপূর্ণ,bn,1,synthetic
তীব্র মাথাব্যথা এবং গিঁটে ব্যথা। ডেঙ্গুর লক্ষণ। ডাক্তারের কাছে যাচ্ছি,bn,1,synthetic
গুলশানে আবার কোভিড বাড়ছে। প্রতিবেশীরা সবাই অসুস্থ,bn,1,synthetic
মেয়ের ১০৩ জ্বর এবং ফুসকুড়ি। স্কয়ার হাসপাতালে ভর্তি করেছি,bn,1,synthetic
বনানী এলাকায় ভাইরাল জ্বর ছড়াচ্ছে। সতর্কতা নিন,bn,1,synthetic
গতকাল থেকে দুর্বল এবং বমি বমি ভাব। সম্ভবত ফুড পয়জনিং,bn,1,synthetic
পরিবারের তিনজন একসাথে ডেঙ্গুতে আক্রান্ত,bn,1,synthetic
বাড়ির কাছের ক্লিনিকে সকাল থেকে লম্বা লাইন। অনেক রোগী,bn,1,synthetic
গলাব্যথা এবং তীব্র তাপমাত্রা। ফ্লু পরীক্ষা পজিটিভ,bn,1,synthetic
ডেঙ্গু প্লেটলেট ৪০ হাজারে নামল। সিএমএইচে ভর্তি,bn,1,synthetic
আমাদের এলাকায় জ্বরের প্রকোপ। সরকারের মশার ওষুধ ছিটানো দরকার,bn,1,synthetic
সহকর্মী এক সপ্তাহ ধরে অসুস্থ। ডাক্তার টাইফয়েডের সন্দেহ করছেন,bn,1,synthetic
পুরান ঢাকায় চিকুনগুনিয়া ছড়াচ্ছে। অনেক পরিবার আক্রান্ত,bn,1,synthetic
সকাল থেকে শরীর ব্যথা ও জ্বর। প্যারাসিটামল খেয়েও কমছে না,bn,1,synthetic
স্বাস্থ্য সতর্কতা: বুড়িগঙ্গার কাছে কলেরার রোগী শনাক্ত,bn,1,synthetic
এই সপ্তাহে মেয়ের স্কুলে অর্ধেক বাচ্চা অসুস্থতায় অনুপস্থিত,bn,1,synthetic
শ্বাসতন্ত্রের সংক্রমণ দ্রুত ছড়াচ্ছে। আশেপাশে সবাই কাশছে,bn,1,synthetic
রক্ত পরীক্ষায় ডেঙ্গু NS1 পজিটিভ। চিকিৎসা শুরু করছি,bn,1,synthetic
এবার ফ্লু মৌসুম খুব খারাপ। আশেপাশে সবাই অসুস্থ হয়ে পড়ছে,bn,1,synthetic
তীব্র পানিশূন্যতা ও ডায়রিয়া নিয়ে হাসপাতালে ভর্তি,bn,1,synthetic
রামপুরায় ভাইরাল জ্বরের প্রাদুর্ভাব। কমপক্ষে ২০টি কেস রিপোর্ট,bn,1,synthetic
প্লেটলেট ৩০ হাজারে নেমেছে। ডাক্তাররা চিন্তিত,bn,1,synthetic
গত রাত থেকে জ্বর-কাঁপুনি। আজ অফিস যেতে পারব না,bn,1,synthetic
আশুলিয়ার পোশাক কারখানায় গণ-অসুস্থতা। শ্রমিকরা হাসপাতালে,bn,1,synthetic
ডেঙ্গু মৌসুমে সবচেয়ে খারাপ অবস্থা। বাড়ির আশেপাশে জমা পানি সরান,bn,1,synthetic
আবার কোভিড পজিটিভ। তীব্র জ্বর নিয়ে আইসোলেশনে,bn,1,synthetic
একাধিক প্রতিবেশী অজানা জ্বর নিয়ে হাসপাতালে। কর্তৃপক্ষকে জানানো হয়েছে,bn,1,synthetic
রাতভর তীব্র পেটব্যথা ও বমি। এখন জরুরি বিভাগে যাচ্ছি,bn,1,synthetic
যাত্রাবাড়ির কাছে টাইফয়েড জ্বরের প্রকোপ। পানির উৎস সন্দেহজনক,bn,1,synthetic
চাচা ডেঙ্গু জটিলতায় মারা গেছেন। খুব কষ্টের পরিস্থিতি,bn,1,synthetic
এই সপ্তাহে পুরো ক্লাস অসুস্থ। শিক্ষক বললেন ভাইরাল ইনফেকশন,bn,1,synthetic
পাঁচদিন ধরে তীব্র জ্বর। ডাক্তার ডেঙ্গু সন্দেহে রক্ত পরীক্ষা করাচ্ছেন,bn,1,synthetic
বন্যায় আক্রান্ত সিলেটের এলাকায় রোগ দ্রুত ছড়াচ্ছে,bn,1,synthetic
ঠিকমতো শ্বাস নিতে পারছি না। বুকের এক্সরে করাতে হাসপাতালে যাচ্ছি,bn,1,synthetic
আইইডিসিআর সতর্কতা: এই সপ্তাহে ডেঙ্গু রোগী ৪০% বেড়েছে,bn,1,synthetic
গায়ে ফুসকুড়ি এবং জ্বর। ডার্মাটোলজিস্ট হামের সন্দেহ করছেন,bn,1,synthetic
কাছের তিনটি হাসপাতাল রোগীতে পূর্ণ। ভর্তি নিচ্ছে না,bn,1,synthetic
গ্রামে ডায়রিয়া-বমি ছড়াচ্ছে। পরিষ্কার পানির ব্যবস্থা নেই,bn,1,synthetic
"অনেক অসুস্থ। তীব্র জ্বর, শরীর ব্যথা, মঙ্গলবার থেকে খাওয়ার রুচি নেই",bn,1,synthetic
আজকে হাতিরঝিলে অসাধারণ সূর্যাস্ত দেখলাম। ঢাকা মাঝে মাঝে সুন্দর হয়,bn,0,synthetic
ফাইনাল পরীক্ষা শেষ হলো। কী স্বস্তি লাগছে এখন,bn,0,synthetic
মিরপুর রোডে যথারীতি যানজট। অফিস পৌঁছাতে দুই ঘণ্টা লাগল,bn,0,synthetic
গুলশানে নতুন রেস্তোরাঁ খুলেছে। বিরিয়ানি অসাধারণ হয়েছে,bn,0,synthetic
বাংলাদেশ ক্রিকেট দল সিরিজ জিতেছে। গত রাতের ম্যাচ দারুণ ছিল,bn,0,synthetic
ধানমন্ডিতে ভালো প্লাম্বার খুঁজছি। কেউ সাজেস্ট করতে পারবেন?,bn,0,synthetic
বসুন্ধরা সিটিতে ঈদের কেনাকাটা। ভিড় বেশি কিন্তু দারুণ অফার,bn,0,synthetic
আমার বিড়ালের বাচ্চা হয়েছে রাতে। খুব সুন্দর। কেউ নিতে চান?,bn,0,synthetic
উত্তরায় চার ঘণ্টা লোডশেডিং। ডেসকো এটা ঠিক করুন,bn,0,synthetic
অফিসে পদোন্নতি হলো। পরিশ্রম অবশেষে ফল দিচ্ছে,bn,0,synthetic
আইইএলটিএস পরীক্ষার প্রস্তুতি নিচ্ছি। রাইটিং সেকশনে টিপস আছে কারো?,bn,0,synthetic
নতুন মেট্রোরেল স্টেশন উদ্বোধন হলো। লাইন অবিশ্বাস্য লম্বা অবশ্য,bn,0,synthetic
আজ রাতে ইলিশ মাছ রান্না করছি। বাংলাদেশের ঐতিহ্যবাহী খাবার,bn,0,synthetic
বিয়ের মৌসুম চলছে। এই সপ্তাহান্তে তিনটি বিয়েতে যাচ্ছি,bn,0,synthetic
নতুন ল্যান্ডস্কেপিংয়ে এনএসইউ ক্যাম্পাস দারুণ দেখাচ্ছে,bn,0,synthetic
আজ ইন্টারনেটের গতি অনেক কম। গ্রামীণফোন কী হচ্ছে?,bn,0,synthetic
আমের মৌসুমের সেরা সময় এখন। বাজারে লাংড়া ও ফজলি ভরপুর,bn,0,synthetic
হুমায়ূন আহমেদের সমগ্র পড়া শেষ। অসাধারণ লেখক তিনি,bn,0,synthetic
পুরান ঢাকায় রিকশা ভাড়া আবার বাড়ল। সব কিছু দামি হয়ে যাচ্ছে,bn,0,synthetic
বৃষ্টি শহর ঠান্ডা করে দিয়েছে। আজকের আবহাওয়া অসাধারণ,bn,0,synthetic
আশ্রয়কেন্দ্র থেকে কুকুর দত্তক নিলাম। খুব বন্ধুত্বপূর্ণ,bn,0,synthetic
আজ রাতে বাংলাদেশ বনাম ভারত ফুটবল। জয়ের জন্য প্রার্থনা করছি,bn,0,synthetic
পদ্মা সেতুতে এখন যানজট অনেক কম। ভালো অবকাঠামো,bn,0,synthetic
সারাদিন লাইব্রেরিতে পড়াশোনা। কাল ফাইনাল প্রজেক্টের ডেডলাইন,bn,0,synthetic
বসুন্ধরা মলের নতুন এক্সটেনশন খুলে গেছে। চমৎকার,bn,0,synthetic
বাচ্চাদের নিয়ে রমনা পার্কে সকালে হাঁটলাম। আবহাওয়া দারুণ,bn,0,synthetic
আমার স্টার্টআপ প্রথম ক্লায়েন্ট পেল। স্বপ্ন সত্যি হচ্ছে,bn,0,synthetic
আজ ডিএসই সূচক ২% বেড়েছে। বিনিয়োগকারীদের জন্য ভালো দিন,bn,0,synthetic
এই সপ্তাহান্তে ফটোগ্রাফি ওয়ার্কশপে যাচ্ছি। অনেক আগ্রহী,bn,0,synthetic
আবার গ্যাসের দাম বাড়ল। মাসিক বাজেট টানাটানি হয়ে যাচ্ছে,bn,0,synthetic
বিশ্ববিদ্যালয় ভর্তির ফলাফল প্রকাশ হয়েছে। সবাইকে অভিনন্দন,bn,0,synthetic
লম্বা সপ্তাহান্ত আসছে। পরিবার নিয়ে কক্সবাজার যাওয়ার পরিকল্পনা,bn,0,synthetic
স্থানীয় স্কুল জাতীয় বিজ্ঞান অলিম্পিয়াড জিতেছে। শিক্ষার্থীদের নিয়ে গর্বিত,bn,0,synthetic
হোম অফিস সেটআপ শেষ করলাম। উৎপাদনশীলতা বাড়ছে ইতিমধ্যে,bn,0,synthetic
পুরান ঢাকার স্ট্রিট ফুড অতুলনীয়। সেরা বাকরখানি এখানেই পাওয়া যায়,bn,0,synthetic
তাপমাত্রা অবশেষে কমছে। ঢাকায় শীত আসছে,bn,0,synthetic
ভাই বুয়েটে ভর্তি হলো। পরিবারে উৎসব আজ রাতে,bn,0,synthetic
সকালে যোগব্যায়াম করলে দিনটা অনেক ভালো যায়,bn,0,synthetic
শাহবাগ পাবলিক লাইব্রেরিতে দারুণ নতুন বইয়ের সংগ্রহ এসেছে,bn,0,synthetic
প্রতিবেশী নতুন গাড়ি কিনেছে। টয়োটা। পার্কিং সমস্যা বাড়ছে অবশ্য,bn,0,synthetic
বাংলাদেশ শিল্পকলা একাডেমিতে কবিতার আসরে গেলাম। অনুষ্ঠান অসাধারণ,bn,0,synthetic
আগোরার চেয়ে স্বপ্নের দাম কিছুটা কম এখন,bn,0,synthetic
পরীক্ষার সময় আবার ইন্টারনেট বন্ধ। শিক্ষার্থীরা বিরক্ত,bn,0,synthetic
দাদি সেরা পিঠা বানান। শীতের সকালে তার বাড়িতে যাওয়া অসাধারণ,bn,0,synthetic
নতুন বাংলা সিনেমা দেখতে গেলাম। অভিনয় চমৎকার ছিল,bn,0,synthetic
ছুটিতে গিটার শিখছি। ধীরে ধীরে এগোচ্ছি কিন্তু মজা পাচ্ছি,bn,0,synthetic
গত রাতে নদীতে আতশবাজি দেখলাম। অসাধারণ দৃশ্য,bn,0,synthetic
রমজান মাসে অফিস ইফতার পার্টি আজ। সবাই খুব উত্সাহিত,bn,0,synthetic
সকালে দৌড়ে এলাম। আজকে অনেক এনার্জেটিক লাগছে,bn,0,synthetic
বাংলা একাডেমির বইমেলায় ভিড় অনেক। দশটি নতুন বই কিনলাম,bn,0,synthetic
3 din dhore jor komchhe na. Hospital jete hobe,banglish,1,synthetic
Amar basha r kachhe dengue case bere geche. Shobai shabodhane thako,banglish,1,synthetic
Poribarer shobar jor. Sharir betha ache shobkichu te,banglish,1,synthetic
Hospital er emergency te rogi vore geche. Flu rogi beshi,banglish,1,synthetic
Mirpure ki keu oshustha hochhe? Amader office er adhekar lok jore poreche,banglish,1,synthetic
Amader building e dengue nishchit. Platelet duto komochu,banglish,1,synthetic
104 jor kal theke. Apollo hospital jachhi ekhon,banglish,1,synthetic
Uttara sector 7 e multiple dengue case paoa geche,banglish,1,synthetic
Cheler duidin dhore bomi ache ar thibro jor,banglish,1,synthetic
School e kashi chhardi dhrut chharachhe. Aaj 30 jon absent,banglish,1,synthetic
Doctor dengue jor nishchit korecho. Mosha theke shobodhane thakun,banglish,1,synthetic
Dhakar hospital gulo eii shoptahe dengue rogi te vora,banglish,1,synthetic
Thibro mathabetha ar gite betha. Dengue er lakkhon. Doctor er kache jachhi,banglish,1,synthetic
Gulshane COVID abar barchhe. Protibesshira shokai oshustha,banglish,1,synthetic
Meye r 103 jor ar rash. Square hospital e vorthi korechhi,banglish,1,synthetic
Banani elakaite viral jor chharachhe. Shoporkosh nin,banglish,1,synthetic
Kal theke durbolo ar bomi bomi lagchhe. Food poisoning hote pare,banglish,1,synthetic
Poribarer tinjon ek shathe dengue te akranto,banglish,1,synthetic
Bari r kache clinic e shokal theke lamba line. Onek rogi,banglish,1,synthetic
Gola betha ar thibro temperature. Flu test positive,banglish,1,synthetic
Dengue platelet 40 hazare namlo. CMH te vorthi,banglish,1,synthetic
Amader elakate jor er prachur. Shorkarer mosha r oshudh chhhitano dorkar,banglish,1,synthetic
Shohokormee ek shoptah dhore oshustha. Doctor typhoid er shondeh korchen,banglish,1,synthetic
Puram Dhakai chikungunya chharachhe. Onek poribhar akranto,banglish,1,synthetic
Shokal theke sharir betha o jor. Paracetamol kheyewo komchhe na,banglish,1,synthetic
Shasthyo shotokorta: Buriganga r kache cholera rogi shaknot,banglish,1,synthetic
Ei shoptahe meye r school e adhekar bachcha oshushtatai absent,banglish,1,synthetic
Shwashontro r shongkromon dhrut chharachhe. Ashepashe shobaai kashchhe,banglish,1,synthetic
Rokto porikkhay dengue NS1 positive. Chikitsha shuru korchi,banglish,1,synthetic
Ebaar flu mousum khub kharap. Ashepashe shobaai oshustha hochhe,banglish,1,synthetic
Thibro panishhunyota o diarrhea niye hospital e vorthi,banglish,1,synthetic
Rampura te viral jor er prachadurbhab. Komopokkhhe 20 ta case,banglish,1,synthetic
Platelet 30 hazare nemeche. Doctor ra chintito,banglish,1,synthetic
Kal rat theke jor-kapuni. Aaj office jete parbo na,banglish,1,synthetic
Ashulia r poshak karkhana te gono-oshushthota. Shromikhira hospital e,banglish,1,synthetic
Dengue mousum e shobcheye kharap obostha. Barir ashepashe joma pani shorao,banglish,1,synthetic
Abaar COVID positive. Thibro jor niye isolation e,banglish,1,synthetic
Onek protibesshi ojanaa jor niye hospital e. Kortripokhhoke janano hoiyeche,banglish,1,synthetic
Raat vhor thibro petbetha o bomi. Ekhon emergency te jachhi,banglish,1,synthetic
Jatrabari r kache typhoid er prokoap. Pani r utshpo shondeho janok,banglish,1,synthetic
Chacha dengue jotilotai mare gechen. Khub koshter porissthiti,banglish,1,synthetic
Ei shoptahe puro class oshustha. Shikkhok bollein viral infection,banglish,1,synthetic
Panch din dhore thibro jor. Doctor dengue shondhehe rokto poriksha korachen,banglish,1,synthetic
Bornai akranto Sylheter elakate rog dhrut chharachhe,banglish,1,synthetic
Thik moto shwas nite parchi na. Buke xray koratie hospital e jachhi,banglish,1,synthetic
IEDCR shotokorta: ei shoptahe dengue rogi 40% bereche,banglish,1,synthetic
Gaiye fushkuri o jor. Dermatologist hamer shondeh korchen,banglish,1,synthetic
Kachher tinti hospital rogite porno. Vorthi nechhe na,banglish,1,synthetic
Gramer diarrhea-bomi chharachhe. Porishkar pani r byabostha nei,banglish,1,synthetic
"Onek oshustha. Thibro jor, sharir betha, Mongolbar theke khabar ruchi nei",banglish,1,synthetic
Aaj Hatirjheel e oporup shurjasto dekhhlam. Dhaka maje maje shundor hoy,banglish,0,synthetic
Final exam shesh holo. Ki shoanti lagchhe ekhon,banglish,0,synthetic
Mirpur road e jothoriti janjot. Office phouchate dui ghonta laglo,banglish,0,synthetic
Gulshanee notun restaurant khulechhe. Biryani oshadharon hoyeche,banglish,0,synthetic
Bangladesh cricket team series jitechhe. Kal rater match darun chilo,banglish,0,synthetic
Dhanmondi te valo plumber khujchi. Keu shagest korte parben?,banglish,0,synthetic
Bashundhara City te Eid er kenokata. Vhid beshi kintu darun offer,banglish,0,synthetic
Amar birhaler bachcha hoyechhe rat e. Khub shundor. Keu nite chan?,banglish,0,synthetic
Uttara te char ghonta loadshedding. DESCO eta thik korun,banglish,0,synthetic
Office e padonnoti holo. Porishrom shesheh fol dichhe,banglish,0,synthetic
